T: 2018-09-11T07:00:00Z | O: 0.0014989 | H: 0.0015095 | L: 0.0014855 | C: 0.0014983 | V: 29832.02 | MOM: 3.3999999999999742E-6
T: 2018-09-11T08:00:00Z | O: 0.0014983 | H: 0.0015094 | L: 0.001493 | C: 0.0014961 | V: 35507.63 | MOM: 4.000000000000097E-6
T: 2018-09-11T09:00:00Z | O: 0.0014971 | H: 0.0015133 | L: 0.0014919 | C: 0.0015038 | V: 23581.09 | MOM: 9.200000000000007E-6
T: 2018-09-11T10:00:00Z | O: 0.0015038 | H: 0.0015079 | L: 0.0014955 | C: 0.0015015 | V: 14415.25 | MOM: -4.499999999999947E-6
T: 2018-09-11T11:00:00Z | O: 0.0015003 | H: 0.0015079 | L: 0.0014975 | C: 0.0015026 | V: 18469.6 | MOM: -3.6999999999999273E-6
T: 2018-09-11T12:00:00Z | O: 0.0015017 | H: 0.001503 | L: 0.0014906 | C: 0.0014935 | V: 9556.84 | MOM: 1.7000000000000955E-6
T: 2018-09-11T13:00:00Z | O: 0.0014936 | H: 0.0014998 | L: 0.001485 | C: 0.0014935 | V: 19399.15 | MOM: -8.500000000000044E-6
T: 2018-09-11T14:00:00Z | O: 0.0014925 | H: 0.0014953 | L: 0.0014901 | C: 0.0014934 | V: 9411.68 | MOM: -2.050000000000012E-5
T: 2018-09-11T15:00:00Z | O: 0.0014933 | H: 0.0015083 | L: 0.0014873 | C: 0.0014879 | V: 55303.23 | MOM: -2.1300000000000138E-5
T: 2018-09-11T16:00:00Z | O: 0.0014878 | H: 0.0014929 | L: 0.0014743 | C: 0.0014755 | V: 41887.99 | MOM: -2.6199999999999878E-5
T: 2018-09-11T17:00:00Z | O: 0.0014754 | H: 0.0014854 | L: 0.001471 | C: 0.0014784 | V: 42934.54 | MOM: -1.6100000000000012E-5
T: 2018-09-11T18:00:00Z | O: 0.0014778 | H: 0.001507 | L: 0.0014727 | C: 0.001501 | V: 81244.8 | MOM: 1.2599999999999981E-5
T: 2018-09-11T19:00:00Z | O: 0.001501 | H: 0.0015067 | L: 0.0014703 | C: 0.0014854 | V: 62234.16 | MOM: -1.2599999999999981E-5
T: 2018-09-11T20:00:00Z | O: 0.0014851 | H: 0.001489 | L: 0.00147 | C: 0.001485 | V: 48889.27 | MOM: -1.3900000000000067E-5
T: 2018-09-11T21:00:00Z | O: 0.001485 | H: 0.0014873 | L: 0.0014724 | C: 0.0014795 | V: 19065.01 | MOM: -1.8800000000000023E-5
T: 2018-09-11T22:00:00Z | O: 0.001479 | H: 0.0014991 | L: 0.0014715 | C: 0.0014822 | V: 48943.98 | MOM: -1.3900000000000067E-5
T: 2018-09-11T23:00:00Z | O: 0.0014822 | H: 0.0014933 | L: 0.0014782 | C: 0.0014846 | V: 31321.76 | MOM: -1.9200000000000033E-5
T: 2018-09-12T00:00:00Z | O: 0.0014857 | H: 0.0014911 | L: 0.001481 | C: 0.0014911 | V: 11659.07 | MOM: -1.0400000000000036E-5
T: 2018-09-12T01:00:00Z | O: 0.0014883 | H: 0.0015049 | L: 0.0014824 | C: 0.001495 | V: 49826.03 | MOM: -7.599999999999968E-6
T: 2018-09-12T02:00:00Z | O: 0.0014949 | H: 0.0015088 | L: 0.0014847 | C: 0.0014855 | V: 43212.69 | MOM: -7.999999999999978E-6
